audience,budget,casting,countries,duration_s,end_year,genres,id,kind,metacritic_score,original_title,poster_link,rating,release_year,synopsis,title,vote_count,worldwide_gross
PG-13,190000000,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Léa Seydoux, Stellan Skarsgård, Charlotte Rampling, Souheila Yacoub, Roger Yuan, Babs Olusanmokun, Alison Halstead, Giusi Merli, Kait Tenison","United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",9960,,"Action, Adventure, Drama",tt15239678,Movie,79,Dune: Part Two,https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,8.8,2024,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,Dune: Part Two,252339,509801051
TV-14,,"Corey Reynolds, Alan Tudyk, Sara Tomko, Levi Fiehler, Judah Prehn, Elizabeth Bowen, Alice Wetterlund, Meredith Garretson, Gary Farmer, Diana Bang, Kaylayla Raine, Jenna Lamia, Linda Hamilton, Alex Barima, Gracelyn Awad Rinke, Sarah Podemski, Mandell Maughan, Andrea Geones",United States,2640,,"Comedy, Drama, Mystery",tt8690918,TV Series,,Resident Alien,https://m.media-amazon.com/images/M/MV5BM2FjM2M4NWMtM2FlMi00ZTg0LTlmNzYtMTk4NDI1ZTU3ZGJlXkEyXkFqcGdeQXVyMjQ4ODcxNTM@._V1_.jpg,8.1,2021,A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.,Resident Alien,54438,
R,35000000,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Vicki Pepperdine, Jack Barton, Charlie Hiscock, Attila Dobai, Emma Hindle, Anders Olof Grundberg, Attila Kecskeméthy, Jucimar Barbosa, Carminho, Angela Paula Stander, Gustavo Gomes, Kate Handford, Owen Good, Zen Joshua Poisson","Ireland, United Kingdom, United States, Hungary",8460,,"Comedy, Drama, Romance",tt14230458,Movie,88,Poor Things,https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,8.0,2023,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Poor Things,191412,112735983
TV-MA,,"Theo James, Kaya Scodelario, Daniel Ings, Joely Richardson, Vinnie Jones, Michael Vu, Harry Goodwins, Stephane Fichet, Logan Dean, Chanel Cresswell, Giancarlo Esposito, Alexis Rodney, Mason Antonio Fardowe, Ray Winstone, Ruby Sear, John McGrellis, Pearce Quigley, Josh Finan","United Kingdom, United States",3000,2024,"Action, Comedy, Crime",tt13210838,TV Series,,The Gentlemen,https://m.media-amazon.com/images/M/MV5BOGJjODQxYWUtYjlkOC00NzJiLTgyZjUtY2Q3Y2FhZGVlODEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,8.3,2024,"When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere.",The Gentlemen,38542,
R,100000000,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Alden Ehrenreich, Scott Grimes, Jason Clarke, Kurt Koehler, Tony Goldwyn, John Gowans, Macon Blair, James D'Arcy, Kenneth Branagh, Harry Groener, Gregory Jbara, Ted King, Tim DeKay, Steven Houska","United States, United Kingdom",10800,,"Biography, Drama, History",tt15398776,Movie,90,Oppenheimer,https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_.jpg,8.3,2023,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Oppenheimer,686337,960362215
PG-13,70000000,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter, Nick Robinson, Robin Wright, Milo Twomey, Nicole Joseph, Patrice Naiambana, Ulli Ackermann, Mens-Sana Tamakloe, Ezra Faroque Khan, Tasha Lim, Brogan Mcfarlane, Sonya Nisa, Esther Odumade, Margarita Ren, Eloise Shephard Taylor",United States,6600,,"Action, Adventure, Fantasy",tt13452446,Movie,46,Damsel,https://m.media-amazon.com/images/M/MV5BODRiMTA4NGMtOTQzZC00OWFjLWFmODctMjY2ZTcwYjI5NDMyXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg,6.1,2024,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",Damsel,49260,70000000
PG-13,165000000,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem, Sharon Duncan-Brewster, Chang Chen, Dave Bautista, David Dastmalchian, Charlotte Rampling, Babs Olusanmokun, Benjamin Clémentine, Souad Faress, Golda Rosheuvel","United States, Canada",9300,,"Action, Adventure, Drama",tt1160419,Movie,74,Dune: Part One,https://m.media-amazon.com/images/M/MV5BMDQ0NjgyN2YtNWViNS00YjA3LTkxNDktYzFkZTExZGMxZDkxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,8.0,2021,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Dune,819923,433919437
TV-MA,,"Andrew Lincoln, Danai Gurira, John Martineau, Pollyanna McIntosh, Terry O'Quinn, Lesley-Ann Brandt, Breeda Wool, Robert O'Hara, Frankie Quinones, Matthew Jeffers, Craig Tate, Andrew Bachelor, Julian Cihi, Erin Anderson, Tessa Hope Slovis, Luba Mason, Alexis Rae Forlenza, Karma Jenkins",United States,3600,2024,"Drama, Horror, Thriller",tt9859436,TV Series,,The Walking Dead: The Ones Who Live,https://m.media-amazon.com/images/M/MV5BYjc3YWM3MjctZDAzNy00OWY4LTkwNjMtMWM2YTg1ZWRlMDAwXkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_.jpg,8.7,2024,"The love story between Rick and Michonne. Changed by a world that is constantly changing, will they find themselves in a war against the living or will they discover that they too are The Walking Dead?",The Walking Dead: The Ones Who Live,14067,
PG,125000000,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond, Bertie Caplan, Isy Suttie, Kobna Holdbrook-Smith, Matilda Tucker, Tom Davis, Olivia Colman, Calah Lane, Paterson Joseph, Matt Lucas, Mathew Baynton, Freya Parker, Keegan-Michael Key, Jim Carter, Rakhee Thakrar","United States, United Kingdom, Canada",6960,,"Adventure, Comedy, Family",tt6166392,Movie,66,Wonka,https://m.media-amazon.com/images/M/MV5BNDM4NTk0NjktZDJhMi00MmFmLTliMzEtN2RkZDY2OTNiMDgzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,7.1,2023,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",Wonka,120621,629710024
PG-13,40000000,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer, Linda Hunt, Freddie Jones, Richard Jordan, Silvana Mangano, Everett McGill, Kenneth McMillan, Jack Nance, Siân Phillips, Jürgen Prochnow, Paul L. Smith, Patrick Stewart, Sting","United States, Mexico",8220,,"Action, Adventure, Sci-Fi",tt0087182,Movie,41,Dune,https://m.media-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,6.3,1984,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,Dune,176013,30983782
